"Timestamp","ProcessName","CpuPct","WorkingSetPrivateMB","InstanceCount"
"2026-04-05T23:59:02","powershell","6,67","106,26","1"
"2026-04-05T23:59:02","firefox","1,19","1643,55","12"
"2026-04-05T23:59:02","qwen","0,44","445,05","6"
"2026-04-05T23:59:02","taskmgr","0,15","24,06","1"
"2026-04-05T23:59:02","explorer","0,15","55,51","1"
"2026-04-05T23:59:02","bravecrashhandler64","0","1,59","1"
"2026-04-05T23:59:02","csrss","0","3,81","2"
"2026-04-05T23:59:02","wininit","0","1,33","1"
"2026-04-05T23:59:02","pwsh","0","25,98","1"
"2026-04-05T23:59:02","audiodg","0","6,09","1"
