"Timestamp","Browser","PID","ProcessName","CPUSecondsTotal","WorkingSetMB","PrivateMemoryMB","Threads","Handles","MainWindowTitle","StartTime","Path"
"2026-04-06T02:29:39","firefox","6268","firefox","184,31","656,95","660,96","22","331","","06/04/2026 01:58:57","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-06T02:29:39","firefox","10144","firefox","23,25","351,73","406,57","18","313","","06/04/2026 01:59:05","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-06T02:29:39","firefox","2248","firefox","474,66","253,98","337,17","73","1738","Análise de Bundle VibeToolkit — Mozilla Firefox — navegação privativa","05/04/2026 23:54:56","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-06T02:29:39","firefox","8068","firefox","44,17","105,57","193,73","17","287","","05/04/2026 23:54:59","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-06T02:29:39","firefox","1224","firefox","760,16","97,54","184,03","19","490","","05/04/2026 23:54:57","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-06T02:29:39","firefox","9532","firefox","10,69","62,9","46,21","17","293","","05/04/2026 23:54:58","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-06T02:29:39","firefox","7840","firefox","0,08","29,82","13,14","15","266","","06/04/2026 01:59:26","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-06T02:29:39","firefox","9800","firefox","0,12","29,52","12,84","15","266","","06/04/2026 01:59:16","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-06T02:29:39","firefox","1588","firefox","0,08","28,28","12,84","15","266","","06/04/2026 02:20:09","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-06T02:29:39","firefox","3256","firefox","0,09","8,22","6,48","5","255","","05/04/2026 23:55:40","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-06T02:29:39","firefox","6484","firefox","0,12","5,46","22,79","5","190","","05/04/2026 23:55:02","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-06T02:29:39","firefox","7380","firefox","0,16","4,92","23,82","5","282","","05/04/2026 23:54:58","C:\Program Files\Mozilla Firefox\firefox.exe"
"2026-04-06T02:29:39","firefox","484","firefox","1,81","4,68","6,27","6","228","","05/04/2026 23:54:58","C:\Program Files\Mozilla Firefox\firefox.exe"
